Subject ID,Song ID,Playing Time,Fixation Count,Fixation Duration,Saccade Length,Saccade Duration,Path Velocity,
01,0,114477,112,426.758928571,195.024658919,602.81981982,1.37221720658,
01,1,100788,111,373.018018018,163.806035545,541.963636364,1.03606026982,
01,2,196279,256,347.51171875,133.009227412,422.023529412,0.83195053218,
01,3,203607,284,324.330985915,153.88842364,401.16254417,1.02476355106,
02,0,154278,224,400.098214286,143.311007085,295.313901345,1.17823118748,
02,1,110745,102,383.617647059,136.963807129,710.722772277,0.82885711604,
02,2,4563,3,199.666666667,470.30505,2065.0,0.29078525,
03,0,68113,14,665.642857143,259.726957692,4543.07692308,0.843141976923,
03,1,47363,16,739.1875,135.552338,2397.93333333,0.433584275333,
03,2,218528,33,417.96969697,296.388429062,6404.21875,0.456319543625,
03,3,137125,42,612.976190476,329.019317561,2746.63414634,1.78677831488,
03,4,1732,2,283.0,378.8478,1366.0,0.277341,
03,5,140456,20,316.35,277.113548947,7076.89473684,0.259900487105,
04,0,119072,164,387.914634146,193.388322454,360.030674847,1.86161659552,
04,1,66712,136,262.338235294,142.972734741,232.118518519,1.55864870281,
04,2,132296,224,276.741071429,132.253638072,315.869955157,1.18381404659,
04,3,85299,119,297.957983193,239.573896186,424.923728814,1.5578625078,
04,4,186820,166,315.819277108,126.175781636,816.727272727,0.834017466152,
04,5,155777,243,274.279835391,159.201894711,369.396694215,1.46715093331,
05,0,114078,20,1359.2,337.122842632,4582.10526316,0.388926929474,
05,1,72178,30,364.333333333,183.86915931,2118.86206897,0.535115504138,
05,2,216029,77,511.766233766,184.387648158,2326.61842105,0.453962212763,
05,3,166237,44,412.159090909,234.642936977,3448.11627907,0.290292488837,
05,4,47361,21,455.476190476,200.7244855,1906.55,0.6839296495,
05,5,195478,71,320.394366197,154.072161571,2470.42857143,0.553348108514,
06,0,62116,42,740.80952381,197.409854878,761.87804878,1.1672309922,
06,1,98590,153,383.555555556,127.351904079,269.552631579,1.24125684421,
06,2,140889,187,435.422459893,120.453126828,320.602150538,1.08338975097,
06,3,268456,377,442.766578249,112.134441676,276.678191489,1.23465300335,
06,4,0,1,301.0,0,0,0,
